PostId,Sentiment_Majority,Predicted_o3_zero_shot,Confidence_o3_zero_shot,Predicted_o3_few_shot,Confidence_o3_few_shot,Predicted_o3_naive,Confidence_o3_naive,Predicted_o3-mini_zero_shot,Confidence_o3-mini_zero_shot,Predicted_o3-mini_few_shot,Confidence_o3-mini_few_shot,Predicted_o3-mini_naive,Confidence_o3-mini_naive,Predicted_gpt-4.1_zero_shot,Confidence_gpt-4.1_zero_shot,Predicted_gpt-4.1_few_shot,Confidence_gpt-4.1_few_shot,Predicted_gpt-4.1_naive,Confidence_gpt-4.1_naive,Predicted_gpt-4.1-mini_zero_shot,Confidence_gpt-4.1-mini_zero_shot,Predicted_gpt-4.1-mini_few_shot,Confidence_gpt-4.1-mini_few_shot,Predicted_gpt-4.1-mini_naive,Confidence_gpt-4.1-mini_naive
w57rzA,1,Positive,0.9,Positive,0.9,Positive,0.9,Positive,1,Positive,0.95,Positive,0.95,Positive,0.95,Positive,0.95,Positive,0.95,Positive,0.9,Positive,0.9,Positive,0.8
4Bb5wG,-1,Negative,0.78,Negative,0.75,Negative,0.8,Negative,0.9,Negative,0.8,Negative,0.8,Negative,0.8,Negative,0.8,Negative,0.9,Negative,0.8,Neutral,0.7,Negative,0.8
5nop0r,1,Positive,0.8,Positive,0.9,Positive,0.87,Neutral,0.95,Neutral,0.9,Positive,0.9,Positive,0.9,Positive,0.9,Positive,0.9,Positive,0.8,Positive,0.8,Positive,0.8
w57R4k,0,Neutral,0.75,Neutral,0.8,Neutral,0.8,Neutral,0.9,Neutral,0.9,Neutral,0.9,Neutral,0.8,Neutral,0.8,Neutral,0.9,Neutral,0.8,Neutral,0.8,Neutral,0.8
oJVaPe,-1,Negative,0.83,Negative,0.85,Negative,0.83,Negative,0.9,Negative,0.9,Negative,0.9,Negative,0.9,Negative,0.9,Negative,0.9,Negative,0.8,Negative,0.8,Negative,0.8
Xn1ZRA,1,Positive,0.85,Positive,0.83,Negative,0.75,Positive,0.9,Negative,0.95,Negative,0.9,Positive,0.9,Positive,0.9,Negative,0.9,Negative,0.8,Positive,0.8,Negative,0.8
zBmZWy,0,Neutral,0.7,Neutral,0.77,Neutral,0.75,Neutral,0.9,Neutral,0.8,Neutral,0.9,Neutral,0.8,Neutral,0.8,Neutral,0.8,Neutral,0.7,Neutral,0.7,Neutral,0.7
JqeV1y,-1,Negative,0.92,Positive,0.6,Negative,0.92,Negative,0.95,Negative,0.9,Negative,0.95,Negative,0.9,Negative,0.95,Negative,0.95,Negative,0.9,Negative,0.9,Negative,0.9
zB0r95,0,Neutral,0.86,Positive,0.8,Neutral,0.8,Neutral,1,Neutral,0.95,Neutral,0.9,Neutral,0.8,Neutral,0.9,Neutral,0.9,Neutral,0.8,Neutral,0.8,Neutral,0.8
vlENJR,0,Neutral,0.71,Neutral,0.7,Neutral,0.75,Neutral,0.9,Neutral,0.9,Neutral,0.9,Neutral,0.8,Neutral,0.8,Neutral,0.8,Neutral,0.8,Neutral,0.8,Neutral,0.8
Zr235R,0,Positive,0.75,Positive,0.75,Neutral,0.74,Neutral,0.9,Neutral,0.8,Neutral,0.8,Neutral,0.8,Neutral,0.8,Neutral,0.8,Neutral,0.8,Neutral,0.8,Neutral,0.7
XnXN2D,-1,Negative,0.9,Negative,0.85,Negative,0.9,Negative,0.9,Negative,0.9,Negative,0.9,Negative,0.95,Negative,1,Negative,1,Negative,0.9,Negative,0.9,Negative,0.9
VZ2Bg2,-1,Negative,0.8,Negative,0.8,Negative,0.88,Negative,0.9,Negative,0.9,Negative,0.8,Negative,0.9,Negative,0.8,Negative,0.9,Negative,0.8,Negative,0.8,Negative,0.8
NWZp9m,1,Positive,0.82,Positive,0.83,Positive,0.85,Positive,0.9,Positive,0.9,Positive,0.9,Positive,0.9,Positive,0.9,Positive,0.9,Positive,0.8,Positive,0.8,Positive,0.8
6V21NO,1,Positive,0.85,Positive,0.8,Positive,0.8,Positive,0.9,Positive,0.9,Neutral,0.95,Positive,0.9,Positive,0.95,Positive,0.9,Positive,0.8,Positive,0.8,Neutral,0.8
EQ64Va,1,Positive,0.82,Positive,0.83,Positive,0.8,Positive,0.9,Positive,0.9,Positive,0.95,Positive,0.9,Positive,0.9,Positive,0.9,Neutral,0.8,Positive,0.8,Positive,0.8
JqkNya,0,Neutral,0.75,Neutral,0.75,Neutral,0.75,Neutral,0.9,Positive,0.9,Positive,0.9,Neutral,0.8,Neutral,0.8,Neutral,0.8,Neutral,0.8,Neutral,0.8,Neutral,0.7
NWV1Gk,1,Positive,0.86,Positive,0.86,Positive,0.9,Positive,0.95,Positive,0.95,Positive,0.95,Positive,0.9,Positive,0.9,Positive,0.9,Positive,0.8,Positive,0.8,Positive,0.8
NWk55J,0,Neutral,0.8,Neutral,0.8,Neutral,0.85,Neutral,0.95,Neutral,0.95,Neutral,0.9,Neutral,0.8,Neutral,0.9,Neutral,0.9,Neutral,0.8,Neutral,0.8,Neutral,0.8
0lNVA7,1,Positive,0.8,Positive,0.8,Neutral,0.75,Positive,0.9,Positive,0.9,Neutral,0.9,Positive,0.9,Positive,0.9,Neutral,0.8,Neutral,0.7,Positive,0.8,Neutral,0.7
4BlmWO,1,Positive,0.78,Positive,0.75,Positive,0.75,Positive,0.9,Positive,0.9,Positive,0.9,Positive,0.9,Positive,0.9,Neutral,0.8,Positive,0.8,Positive,0.8,Neutral,0.7
zB8eg5,1,Neutral,0.8,Neutral,0.55,Neutral,0.75,Positive,0.9,Positive,0.95,Positive,0.9,Positive,0.9,Positive,0.9,Neutral,0.8,Positive,0.8,Positive,0.8,Neutral,0.7
WBzk67,0,Negative,0.75,Negative,0.7,Negative,0.8,Negative,0.9,Negative,0.9,Negative,0.9,Neutral,0.8,Neutral,0.8,Neutral,0.8,Neutral,0.8,Neutral,0.8,Neutral,0.7
6V726O,0,Neutral,0.75,Neutral,0.74,Neutral,0.75,Neutral,0.9,Neutral,0.9,Neutral,0.8,Neutral,0.8,Neutral,0.8,Neutral,0.8,Neutral,0.8,Neutral,0.8,Neutral,0.7
QPK5NX,0,Neutral,0.9,Neutral,0.9,Neutral,0.85,Neutral,0.9,Neutral,0.95,Neutral,0.9,Neutral,1,Neutral,1,Neutral,1,Neutral,0.9,Neutral,0.9,Neutral,0.9
qVXa5W,1,Neutral,0.55,Positive,0.8,Positive,0.82,Positive,0.95,Positive,0.95,Positive,0.9,Neutral,0.9,Neutral,0.9,Positive,0.9,Neutral,0.4,Neutral,0.3,Positive,0.8
emQ03K,0,Negative,0.75,Negative,0.75,Negative,0.75,Neutral,0.8,Negative,0.8,Neutral,0.8,Neutral,0.8,Neutral,0.8,Negative,0.8,Neutral,0.9,Neutral,0.8,Neutral,0.8
mqwrZZ,-1,Negative,0.87,Negative,0.8,Negative,0.8,Negative,0.9,Negative,0.9,Negative,0.8,Negative,0.9,Negative,0.9,Negative,0.9,Negative,0.8,Negative,0.8,Negative,0.8
86KrEA,-1,Negative,0.83,Negative,0.8,Negative,0.8,Negative,0.9,Negative,0.9,Negative,0.9,Negative,0.9,Negative,0.9,Negative,0.9,Negative,0.8,Negative,0.8,Negative,0.8
3Z1VWr,0,Negative,0.75,Negative,0.7,Negative,0.65,Neutral,0.8,Neutral,0.9,Neutral,0.9,Negative,0.8,Neutral,0.8,Negative,0.8,Neutral,0.7,Neutral,0.6,Neutral,0.6
AgBGpl,-1,Negative,0.82,Negative,0.8,Negative,0.8,Neutral,0.9,Neutral,0.8,Neutral,0.9,Negative,0.8,Negative,0.8,Negative,0.9,Neutral,0.8,Neutral,0.8,Neutral,0.8
K4yaPv,0,Neutral,0.7,Neutral,0.75,Neutral,0.6,Neutral,0.9,Neutral,0.9,Neutral,0.9,Neutral,0.8,Neutral,0.8,Neutral,0.7,Neutral,0.8,Neutral,0.8,Neutral,0.7
EQ6Gmo,-1,Negative,0.75,Negative,0.75,Negative,0.88,Negative,0.9,Negative,0.8,Negative,0.8,Neutral,0.7,Neutral,0.7,Negative,0.8,Negative,0.8,Negative,0.8,Negative,0.8
ZrGnPE,-1,Positive,0.7,Negative,0.8,Negative,0.9,Negative,0.9,Negative,0.9,Negative,0.9,Negative,0.9,Negative,0.9,Negative,0.95,Negative,0.9,Negative,0.8,Negative,0.9
D8QadP,-1,Negative,0.6,Negative,0.8,Negative,0.83,Negative,0.9,Negative,0.9,Negative,0.9,Negative,0.8,Negative,0.9,Negative,0.9,Negative,0.8,Negative,0.8,Negative,0.8
Bm0Qz8,1,Positive,0.8,Positive,0.8,Neutral,0.6,Positive,0.9,Positive,0.9,Positive,0.9,Neutral,0.8,Positive,0.9,Neutral,0.8,Neutral,0.8,Neutral,0.8,Positive,0.8
w5jmaO,0,Negative,0.75,Negative,0.74,Neutral,0.75,Neutral,0.9,Neutral,0.9,Neutral,0.9,Neutral,0.8,Neutral,0.8,Neutral,0.8,Neutral,0.8,Neutral,0.8,Neutral,0.8
Jq7XXn,-1,Negative,0.8,Negative,0.8,Negative,0.85,Negative,0.9,Negative,0.9,Negative,0.9,Negative,0.8,Negative,0.8,Negative,0.9,Neutral,0.8,Neutral,0.8,Negative,0.8
6VvJ2X,1,Positive,0.8,Positive,0.75,Neutral,0.7,Neutral,0.8,Positive,0.9,Neutral,0.8,Neutral,0.6,Positive,0.9,Neutral,0.8,Neutral,0.7,Negative,0.7,Negative,0.7
15RonE,0,Neutral,0.78,Neutral,0.75,Neutral,0.8,Positive,0.9,Positive,0.9,Positive,0.9,Neutral,0.8,Positive,0.9,Neutral,0.9,Neutral,0.8,Neutral,0.8,Neutral,0.8
6VoyJJ,-1,Negative,0.74,Negative,0.7,Negative,0.75,Neutral,0.8,Negative,0.8,Negative,0.8,Negative,0.7,Neutral,0.8,Negative,0.8,Neutral,0.7,Neutral,0.7,Neutral,0.7
yZX7k9,-1,Neutral,0.75,Neutral,0.8,Neutral,0.7,Neutral,0.9,Negative,0.9,Neutral,0.9,Neutral,0.8,Neutral,0.8,Neutral,0.8,Neutral,0.8,Neutral,0.8,Neutral,0.7
w5bwNk,-1,Negative,0.75,Negative,0.65,Negative,0.8,Neutral,0.9,Neutral,0.9,Neutral,0.8,Neutral,0.8,Neutral,0.8,Negative,0.9,Neutral,0.8,Neutral,0.8,Neutral,0.8
3ZqgAj,0,Negative,0.8,Negative,0.79,Negative,0.78,Negative,0.8,Negative,0.8,Negative,0.8,Negative,0.8,Negative,0.8,Negative,0.8,Negative,0.8,Negative,0.8,Negative,0.8
WB0v3B,0,Positive,0.77,Positive,0.8,Neutral,0.6,Positive,0.9,Positive,0.9,Positive,0.9,Neutral,0.7,Positive,0.9,Neutral,0.8,Neutral,0.8,Positive,0.7,Positive,0.7
JqBBBK,0,Negative,0.83,Negative,0.82,Negative,0.8,Negative,0.8,Negative,0.9,Negative,0.8,Negative,0.8,Negative,0.9,Negative,0.9,Negative,0.8,Negative,0.8,Negative,0.8
R2kQqj,1,Positive,0.7,Positive,0.6,Negative,0.75,Negative,0.9,Negative,0.8,Negative,0.9,Negative,0.8,Negative,0.8,Negative,0.8,Negative,0.8,Positive,0.8,Negative,0.8
qVbb02,-1,Neutral,0.75,Neutral,0.78,Neutral,0.75,Neutral,0.9,Neutral,0.8,Neutral,0.8,Neutral,0.8,Neutral,0.8,Neutral,0.8,Neutral,0.8,Neutral,0.8,Neutral,0.7
yZNzkE,1,Positive,0.7,Positive,0.7,Negative,0.6,Negative,0.8,Negative,0.8,Neutral,0.8,Positive,0.8,Positive,0.8,Neutral,0.7,Negative,0.8,Negative,0.7,Negative,0.7
PwR32O,0,Positive,0.85,Positive,0.8,Negative,0.8,Positive,0.9,Positive,0.9,Negative,0.9,Positive,0.9,Positive,0.95,Negative,0.9,Positive,0.8,Positive,0.8,Negative,0.8
AgEmPr,-1,Positive,0.8,Positive,0.75,Negative,0.74,Positive,0.9,Positive,0.8,Positive,0.8,Positive,0.9,Positive,0.9,Negative,0.9,Positive,0.8,Positive,0.8,Negative,0.8
Jq72W5,1,Positive,0.82,Positive,0.83,Neutral,0.8,Positive,0.9,Positive,0.9,Neutral,0.9,Positive,0.9,Positive,0.9,Neutral,0.8,Neutral,0.8,Neutral,0.8,Neutral,0.8
4Bkz8d,0,Positive,0.77,Positive,0.78,Positive,0.83,Neutral,0.9,Positive,0.9,Neutral,0.9,Neutral,0.7,Positive,0.8,Positive,0.8,Neutral,0.7,Neutral,0.7,Neutral,0.6
7r41RG,-1,Negative,0.74,Negative,0.8,Negative,0.86,Negative,0.9,Negative,0.9,Neutral,0.8,Negative,0.8,Negative,0.8,Negative,0.9,Negative,0.7,Negative,0.7,Negative,0.7
ppgobX,0,Negative,0.75,Negative,0.8,Negative,0.8,Neutral,0.8,Negative,0.8,Neutral,0.8,Neutral,0.8,Negative,0.8,Negative,0.9,Neutral,0.8,Neutral,0.7,Negative,0.8
0l5P33,0,Negative,0.8,Negative,0.78,Negative,0.75,Negative,0.9,Negative,0.9,Negative,0.8,Negative,0.9,Negative,0.9,Negative,0.9,Negative,0.8,Negative,0.8,Negative,0.8
9demg5,0,Negative,0.83,Negative,0.75,Negative,0.75,Negative,0.8,Negative,0.9,Negative,0.8,Negative,0.9,Negative,0.9,Negative,0.8,Negative,0.8,Negative,0.8,Negative,0.8
VZV2Gl,-1,Positive,0.8,Positive,0.8,Neutral,0.55,Positive,0.8,Positive,0.8,Neutral,0.9,Positive,0.9,Positive,0.9,Neutral,0.8,Positive,0.8,Positive,0.8,Neutral,0.7
g8l5ng,1,Positive,0.79,Positive,0.8,Positive,0.8,Positive,0.95,Positive,0.9,Positive,0.9,Neutral,0.8,Neutral,0.8,Neutral,0.8,Neutral,0.8,Neutral,0.7,Neutral,0.8
86EA8X,1,Positive,0.85,Positive,0.83,Neutral,0.72,Neutral,0.9,Neutral,0.9,Neutral,0.9,Positive,0.9,Positive,0.9,Neutral,0.8,Neutral,0.8,Neutral,0.8,Neutral,0.8
rNkOzw,1,Negative,0.83,Negative,0.8,Negative,0.8,Negative,0.9,Negative,0.9,Negative,0.9,Negative,0.9,Negative,0.9,Negative,0.9,Negative,0.8,Negative,0.8,Negative,0.8
Bmdj6V,-1,Negative,0.6,Negative,0.75,Negative,0.83,Negative,0.8,Negative,0.8,Negative,0.8,Positive,0.8,Negative,0.8,Negative,0.9,Positive,0.8,Positive,0.8,Negative,0.8
Xn68Ky,-1,Negative,0.7,Negative,0.75,Negative,0.78,Negative,0.8,Negative,0.8,Negative,0.9,Neutral,0.7,Neutral,0.8,Negative,0.8,Neutral,0.7,Neutral,0.7,Negative,0.7
g8EvRl,-1,Negative,0.78,Negative,0.83,Negative,0.8,Negative,0.8,Negative,0.8,Negative,0.8,Negative,0.8,Negative,0.8,Negative,0.9,Negative,0.8,Negative,0.7,Negative,0.7
2jVXdv,0,Negative,0.75,Negative,0.75,Negative,0.6,Negative,0.9,Negative,0.9,Neutral,0.8,Negative,0.8,Negative,0.8,Negative,0.8,Neutral,0.8,Neutral,0.8,Neutral,0.8
VZG6Q8,-1,Negative,0.78,Negative,0.7,Negative,0.8,Negative,0.9,Negative,0.8,Negative,0.8,Negative,0.8,Negative,0.9,Negative,0.9,Neutral,0.8,Neutral,0.8,Negative,0.8
D84veO,0,Positive,0.75,Positive,0.75,Neutral,0.6,Negative,0.8,Negative,0.9,Negative,0.8,Neutral,0.7,Neutral,0.8,Neutral,0.7,Negative,0.7,Negative,0.8,Negative,0.8
pp3pkj,1,Positive,0.85,Positive,0.83,Positive,0.9,Positive,0.9,Positive,0.9,Positive,0.95,Positive,0.9,Positive,0.9,Positive,0.9,Positive,0.8,Positive,0.8,Positive,0.8
QPd89R,0,Neutral,0.8,Neutral,0.75,Neutral,0.78,Neutral,0.8,Neutral,0.8,Neutral,0.8,Neutral,0.8,Neutral,0.8,Neutral,0.8,Neutral,0.8,Neutral,0.8,Neutral,0.7
D8Qe7G,0,Neutral,0.75,Neutral,0.75,Negative,0.72,Negative,0.9,Negative,0.9,Negative,0.9,Neutral,0.8,Neutral,0.8,Neutral,0.8,Neutral,0.5,Neutral,0.3,Negative,0.7
6VplbX,1,Positive,0.75,Positive,0.8,Negative,0.8,Neutral,0.8,Negative,0.8,Neutral,0.8,Positive,0.8,Positive,0.8,Negative,0.9,Neutral,0.8,Neutral,0.8,Neutral,0.8
bkerrQ,0,Positive,0.7,Positive,0.7,Neutral,0.73,Neutral,0.8,Neutral,0.8,Neutral,0.8,Neutral,0.7,Positive,0.9,Neutral,0.8,Negative,0.8,Positive,0.8,Neutral,0.7
ON0y7b,-1,Negative,0.8,Negative,0.8,Negative,0.8,Positive,0.8,Positive,0.8,Positive,0.9,Negative,0.8,Negative,0.7,Negative,0.9,Neutral,0.6,Neutral,0.5,Neutral,0.6
Gon8kK,-1,Negative,0.75,Negative,0.8,Negative,0.78,Negative,0.9,Negative,0.8,Negative,0.9,Negative,0.9,Negative,0.8,Negative,0.9,Negative,0.8,Negative,0.8,Negative,0.8
BmZ0nZ,-1,Negative,0.75,Negative,0.78,Negative,0.75,Negative,0.8,Negative,0.9,Neutral,0.8,Negative,0.8,Negative,0.8,Negative,0.8,Negative,0.8,Negative,0.8,Neutral,0.7
JqROgm,1,Positive,0.75,Positive,0.8,Neutral,0.7,Neutral,0.8,Negative,0.9,Neutral,0.8,Negative,0.8,Negative,0.8,Negative,0.8,Neutral,0.7,Positive,0.7,Neutral,0.7
